시도명,시군구명,0~5,6~10,11~15,16~20,21~25,26~30,31~35,36~40,41~45,46~50,51~55,56~60,61~65,66~70,71~75,76~80,81~85,86~90,91~95,96~100,101~105,106~110
충청남도,공주시,2.0,4.0,13.0,1250.0,2306.0,1418.0,1159.0,947.0,1079.0,1270.0,1957.0,2493.0,3149.0,2641.0,1829.0,1600.0,1690.0,1120.0,436.0,65.0,7.0,2.0
충청남도,금산군,1.0,2.0,6.0,144.0,312.0,390.0,350.0,315.0,520.0,619.0,1158.0,1474.0,1862.0,1686.0,1219.0,961.0,1179.0,745.0,248.0,32.0,10.0,0.0
충청남도,논산시,3.0,5.0,14.0,104.0,820.0,1629.0,1303.0,1021.0,1235.0,1581.0,2334.0,2921.0,3495.0,3209.0,2276.0,1887.0,2124.0,1462.0,538.0,93.0,12.0,1.0
충청남도,당진시,5.0,16.0,10.0,66.0,1034.0,3099.0,2993.0,2586.0,3073.0,3019.0,3862.0,4193.0,4397.0,3306.0,2158.0,1692.0,1696.0,1225.0,353.0,63.0,9.0,2.0
충청남도,보령시,4.0,13.0,17.0,56.0,535.0,1322.0,1095.0,814.0,1198.0,1405.0,2017.0,2521.0,3045.0,2664.0,1945.0,1634.0,1611.0,1042.0,401.0,66.0,6.0,0.0
충청남도,부여군,1.0,1.0,4.0,81.0,357.0,508.0,447.0,414.0,513.0,750.0,1129.0,1483.0,1991.0,1884.0,1439.0,1302.0,1582.0,1181.0,418.0,90.0,10.0,1.0
충청남도,서산시,0.0,3.0,10.0,103.0,1413.0,3384.0,2850.0,2025.0,2342.0,2440.0,3351.0,3490.0,3721.0,2907.0,2161.0,1756.0,1784.0,1291.0,486.0,70.0,11.0,2.0
충청남도,서천군,0.0,1.0,4.0,18.0,178.0,408.0,350.0,311.0,452.0,608.0,988.0,1221.0,1698.0,1515.0,1243.0,1198.0,1370.0,959.0,397.0,56.0,8.0,0.0
충청남도,아산시,9.0,25.0,33.0,458.0,4360.0,8504.0,7394.0,5589.0,5795.0,5242.0,6033.0,5950.0,6243.0,4913.0,3263.0,2621.0,2331.0,1379.0,468.0,69.0,6.0,0.0
충청남도,예산군,1.0,1.0,10.0,111.0,350.0,792.0,801.0,646.0,781.0,991.0,1522.0,1949.0,2434.0,2120.0,1585.0,1351.0,1510.0,1070.0,350.0,59.0,12.0,1.0
충청남도,천안시 동남구,7.0,20.0,26.0,783.0,4757.0,5559.0,4552.0,3266.0,3684.0,3605.0,4794.0,5018.0,5746.0,4323.0,2784.0,2139.0,1863.0,1208.0,421.0,61.0,9.0,1.0
충청남도,천안시 서북구,6.0,25.0,27.0,958.0,7504.0,13056.0,11296.0,7821.0,7063.0,5721.0,6274.0,5798.0,5642.0,4009.0,2479.0,1910.0,1703.0,924.0,314.0,61.0,6.0,1.0
충청남도,청양군,0.0,1.0,5.0,330.0,427.0,356.0,271.0,218.0,279.0,365.0,621.0,848.0,1076.0,989.0,683.0,606.0,765.0,605.0,209.0,36.0,1.0,2.0
충청남도,태안군,0.0,1.0,9.0,30.0,381.0,778.0,612.0,499.0,741.0,990.0,1452.0,1920.0,2354.0,1977.0,1496.0,1300.0,1244.0,748.0,297.0,43.0,5.0,2.0
충청남도,홍성군,0.0,4.0,10.0,214.0,771.0,1672.0,1468.0,929.0,1036.0,1225.0,1765.0,2051.0,2534.0,2108.0,1568.0,1270.0,1422.0,1077.0,357.0,73.0,13.0,1.0
충청북도,괴산군,1.0,1.0,2.0,115.0,260.0,353.0,290.0,277.0,415.0,580.0,1019.0,1469.0,1742.0,1465.0,976.0,829.0,901.0,618.0,210.0,27.0,5.0,0.0
충청북도,단양군,0.0,0.0,3.0,22.0,81.0,270.0,219.0,195.0,270.0,362.0,673.0,905.0,1277.0,1074.0,712.0,648.0,646.0,371.0,99.0,17.0,2.0,2.0
충청북도,보은군,1.0,1.0,2.0,12.0,86.0,231.0,202.0,183.0,284.0,344.0,595.0,959.0,1202.0,1088.0,737.0,671.0,856.0,599.0,214.0,40.0,0.0,1.0
충청북도,영동군,0.0,1.0,3.0,24.0,272.0,419.0,316.0,283.0,381.0,551.0,928.0,1344.0,1661.0,1510.0,1052.0,955.0,1078.0,695.0,216.0,40.0,2.0,0.0
충청북도,옥천군,2.0,1.0,2.0,63.0,200.0,353.0,328.0,287.0,439.0,598.0,1013.0,1273.0,1770.0,1599.0,1175.0,879.0,1009.0,698.0,253.0,49.0,7.0,1.0
충청북도,음성군,3.0,7.0,39.0,248.0,781.0,1957.0,1778.0,1312.0,1570.0,1781.0,2521.0,2944.0,3249.0,2510.0,1484.0,1190.0,1195.0,782.0,246.0,52.0,4.0,1.0
충청북도,제천시,1.0,3.0,20.0,830.0,1988.0,1916.0,1446.0,1106.0,1399.0,1639.0,2446.0,3065.0,3662.0,3278.0,2267.0,1940.0,1934.0,1140.0,302.0,57.0,8.0,0.0
충청북도,증평군,0.0,2.0,5.0,36.0,390.0,934.0,688.0,539.0,592.0,570.0,774.0,879.0,1015.0,803.0,506.0,465.0,403.0,270.0,88.0,13.0,1.0,0.0
충청북도,진천군,4.0,5.0,8.0,141.0,684.0,1916.0,1773.0,1245.0,1531.0,1521.0,1942.0,2116.0,2093.0,1588.0,978.0,742.0,805.0,588.0,182.0,33.0,3.0,0.0
충청북도,청주시 상당구,3.0,21.0,38.0,117.0,1064.0,2944.0,2850.0,1911.0,2107.0,2143.0,2997.0,3292.0,3887.0,3384.0,2307.0,1806.0,1679.0,1036.0,310.0,59.0,4.0,2.0
충청북도,청주시 서원구,2.0,4.0,11.0,478.0,3720.0,4330.0,3111.0,2069.0,2258.0,2352.0,3065.0,3288.0,3788.0,3315.0,2237.0,1741.0,1556.0,947.0,276.0,41.0,3.0,0.0
충청북도,청주시 청원구,5.0,12.0,15.0,531.0,3170.0,5759.0,4542.0,2809.0,2886.0,2626.0,3068.0,3144.0,3386.0,2757.0,1702.0,1399.0,1404.0,923.0,287.0,37.0,4.0,2.0
충청북도,청주시 흥덕구,5.0,11.0,24.0,358.0,4327.0,10455.0,8419.0,4905.0,4491.0,3989.0,4644.0,4663.0,4712.0,3412.0,1967.0,1536.0,1429.0,806.0,277.0,36.0,5.0,0.0
충청북도,충주시,5.0,12.0,36.0,316.0,2578.0,3793.0,3145.0,2275.0,2569.0,2691.0,3775.0,4696.0,5307.0,4495.0,2843.0,2535.0,2569.0,1581.0,547.0,91.0,13.0,4.0
